"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +4.65955227321E-010, +0.00000000000E+000
+9.49970000000E+005, +4.65955227321E-010, +0.00000000000E+000
+1.59994000000E+006, +7.17226093913E-010, +0.00000000000E+000
+2.24991000000E+006, +8.40846030776E-010, +0.00000000000E+000
+2.89988000000E+006, +7.87936602005E-010, +0.00000000000E+000
+3.54985000000E+006, +8.66728602478E-010, +0.00000000000E+000
+4.19982000000E+006, +9.02455294067E-010, +0.00000000000E+000
+4.84979000000E+006, +8.52496003239E-010, +0.00000000000E+000
+5.49976000000E+006, +8.16695008362E-010, +0.00000000000E+000
+6.14973000000E+006, +9.30322903336E-010, +0.00000000000E+000
+6.79970000000E+006, +8.39362558179E-010, +0.00000000000E+000
+7.44967000000E+006, +8.97471152970E-010, +0.00000000000E+000
+8.09964000000E+006, +8.35225692919E-010, +0.00000000000E+000
+8.74961000000E+006, +9.21086221436E-010, +0.00000000000E+000
+9.39958000000E+006, +8.65399891590E-010, +0.00000000000E+000
+1.00495500000E+007, +8.64708797958E-010, +0.00000000000E+000
+1.06995200000E+007, +8.32285099899E-010, +0.00000000000E+000
+1.13494900000E+007, +8.27235676127E-010, +0.00000000000E+000
+1.19994600000E+007, +8.73306426191E-010, +0.00000000000E+000
+1.26494300000E+007, +9.05012692539E-010, +0.00000000000E+000
+1.32994000000E+007, +8.63938902470E-010, +0.00000000000E+000
+1.39493700000E+007, +8.96419020038E-010, +0.00000000000E+000
+1.45993400000E+007, +8.82332709411E-010, +0.00000000000E+000
+1.52493100000E+007, +8.95998409096E-010, +0.00000000000E+000
+1.58992800000E+007, +7.89600670069E-010, +0.00000000000E+000
+1.65492500000E+007, +8.66449607866E-010, +0.00000000000E+000
+1.71992200000E+007, +9.37147582906E-010, +0.00000000000E+000
+1.78491900000E+007, +9.57908443027E-010, +0.00000000000E+000
+1.84991600000E+007, +8.88394259961E-010, +0.00000000000E+000
+1.91491300000E+007, +8.07566844221E-010, +0.00000000000E+000
+1.97991000000E+007, +6.89086172082E-010, +0.00000000000E+000
+2.04490700000E+007, +8.95314301787E-010, +0.00000000000E+000
+2.10990400000E+007, +9.61830672685E-010, +0.00000000000E+000
+2.17490100000E+007, +8.79191464983E-010, +0.00000000000E+000
+2.23989800000E+007, +7.90888127080E-010, +0.00000000000E+000
+2.30489500000E+007, +7.32727981200E-010, +0.00000000000E+000
+2.36989200000E+007, +8.99784049416E-010, +0.00000000000E+000
+2.43488900000E+007, +8.96406642301E-010, +0.00000000000E+000
+2.49988600000E+007, +8.55611737458E-010, +0.00000000000E+000
+2.56488300000E+007, +8.70514454600E-010, +0.00000000000E+000
+2.62988000000E+007, +8.46572127607E-010, +0.00000000000E+000
+2.69487700000E+007, +8.94906797388E-010, +0.00000000000E+000
+2.75987400000E+007, +8.81346723224E-010, +0.00000000000E+000
+2.82487100000E+007, +8.81684252847E-010, +0.00000000000E+000
+2.88986800000E+007, +8.28466193835E-010, +0.00000000000E+000
+2.95486500000E+007, +8.52633991517E-010, +0.00000000000E+000
+3.01986200000E+007, +8.71502354897E-010, +0.00000000000E+000
+3.08485900000E+007, +9.03661471131E-010, +0.00000000000E+000
+3.14985600000E+007, +8.88534314255E-010, +0.00000000000E+000
+3.21485300000E+007, +8.78539845705E-010, +0.00000000000E+000
+3.27985000000E+007, +8.51606552317E-010, +0.00000000000E+000
+3.34484700000E+007, +8.84493419325E-010, +0.00000000000E+000
+3.40984400000E+007, +8.54523091597E-010, +0.00000000000E+000
+3.47484100000E+007, +8.46434354939E-010, +0.00000000000E+000
+3.53983800000E+007, +8.51305423626E-010, +0.00000000000E+000
+3.60483500000E+007, +8.63131187537E-010, +0.00000000000E+000
+3.66983200000E+007, +8.51571145149E-010, +0.00000000000E+000
+3.73482900000E+007, +8.75928771428E-010, +0.00000000000E+000
+3.79982600000E+007, +8.76736058908E-010, +0.00000000000E+000
+3.86482300000E+007, +8.70552671396E-010, +0.00000000000E+000
+3.92982000000E+007, +8.93181373763E-010, +0.00000000000E+000
+3.99481700000E+007, +8.80928992410E-010, +0.00000000000E+000
+4.05981400000E+007, +8.97952859905E-010, +0.00000000000E+000
+4.12481100000E+007, +8.50189765874E-010, +0.00000000000E+000
+4.18980800000E+007, +8.58155745887E-010, +0.00000000000E+000
+4.25480500000E+007, +8.56313815201E-010, +0.00000000000E+000
+4.31980200000E+007, +8.55454859820E-010, +0.00000000000E+000
+4.38479900000E+007, +8.62612500353E-010, +0.00000000000E+000
+4.44979600000E+007, +8.80881245922E-010, +0.00000000000E+000
+4.51479300000E+007, +8.81714272870E-010, +0.00000000000E+000
+4.57979000000E+007, +8.75535978427E-010, +0.00000000000E+000
+4.64478700000E+007, +8.61312170999E-010, +0.00000000000E+000
+4.70978400000E+007, +8.57046713690E-010, +0.00000000000E+000
+4.77478100000E+007, +8.56667721274E-010, +0.00000000000E+000
+4.83977800000E+007, +8.95782713537E-010, +0.00000000000E+000
