"# Channel 2"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -9.29512959663E+001, +0.00000000000E+000
+9.49970000000E+005, +9.39271620918E+001, +0.00000000000E+000
+1.59994000000E+006, +8.48722841080E+001, +0.00000000000E+000
+2.24991000000E+006, +5.97238304400E+001, +0.00000000000E+000
+2.89988000000E+006, +7.85263355055E+001, +0.00000000000E+000
+3.54985000000E+006, +8.57131977806E+001, +0.00000000000E+000
+4.19982000000E+006, +9.82110641748E+001, +0.00000000000E+000
+4.84979000000E+006, +9.99048667270E+001, +0.00000000000E+000
+5.49976000000E+006, +9.64913604477E+001, +0.00000000000E+000
+6.14973000000E+006, +8.29904761580E+001, +0.00000000000E+000
+6.79970000000E+006, +9.39056967670E+001, +0.00000000000E+000
+7.44967000000E+006, +1.01345105019E+002, +0.00000000000E+000
+8.09964000000E+006, +8.26497260594E+001, +0.00000000000E+000
+8.74961000000E+006, +8.76333737662E+001, +0.00000000000E+000
+9.39958000000E+006, +8.53954327084E+001, +0.00000000000E+000
+1.00495500000E+007, +8.99342483010E+001, +0.00000000000E+000
+1.06995200000E+007, +8.60403658153E+001, +0.00000000000E+000
+1.13494900000E+007, +8.65249791148E+001, +0.00000000000E+000
+1.19994600000E+007, +8.94363057782E+001, +0.00000000000E+000
+1.26494300000E+007, +8.63552794919E+001, +0.00000000000E+000
+1.32994000000E+007, +8.76409347602E+001, +0.00000000000E+000
+1.39493700000E+007, +8.50819307555E+001, +0.00000000000E+000
+1.45993400000E+007, +8.65815578186E+001, +0.00000000000E+000
+1.52493100000E+007, +8.63384230168E+001, +0.00000000000E+000
+1.58992800000E+007, +8.57809835196E+001, +0.00000000000E+000
+1.65492500000E+007, +8.61546434998E+001, +0.00000000000E+000
+1.71992200000E+007, +8.64973874104E+001, +0.00000000000E+000
+1.78491900000E+007, +8.60264632240E+001, +0.00000000000E+000
+1.84991600000E+007, +8.54432720906E+001, +0.00000000000E+000
+1.91491300000E+007, +8.50274737158E+001, +0.00000000000E+000
+1.97991000000E+007, +8.54169575786E+001, +0.00000000000E+000
+2.04490700000E+007, +8.65404523785E+001, +0.00000000000E+000
+2.10990400000E+007, +8.63501228412E+001, +0.00000000000E+000
+2.17490100000E+007, +8.72927198471E+001, +0.00000000000E+000
+2.23989800000E+007, +8.67859520323E+001, +0.00000000000E+000
+2.30489500000E+007, +8.93165426727E+001, +0.00000000000E+000
+2.36989200000E+007, +9.05415715962E+001, +0.00000000000E+000
+2.43488900000E+007, +9.05551389144E+001, +0.00000000000E+000
+2.49988600000E+007, +9.18816219175E+001, +0.00000000000E+000
+2.56488300000E+007, +9.01303758620E+001, +0.00000000000E+000
+2.62988000000E+007, +8.94507463452E+001, +0.00000000000E+000
+2.69487700000E+007, +8.75489190542E+001, +0.00000000000E+000
+2.75987400000E+007, +8.63887065440E+001, +0.00000000000E+000
+2.82487100000E+007, +8.55358066518E+001, +0.00000000000E+000
