"# Channel 2"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -8.81814581378E+001, +0.00000000000E+000
+9.49970000000E+005, -8.40764742243E+001, +0.00000000000E+000
+1.59994000000E+006, -8.23980362743E+001, +0.00000000000E+000
+2.24991000000E+006, -8.68673857961E+001, +0.00000000000E+000
+2.89988000000E+006, -8.44514078859E+001, +0.00000000000E+000
+3.54985000000E+006, -8.22946544368E+001, +0.00000000000E+000
+4.19982000000E+006, -7.57264509621E+001, +0.00000000000E+000
+4.84979000000E+006, -7.97876600325E+001, +0.00000000000E+000
+5.49976000000E+006, -7.33227945144E+001, +0.00000000000E+000
+6.14973000000E+006, -7.80733340682E+001, +0.00000000000E+000
+6.79970000000E+006, -7.50938274974E+001, +0.00000000000E+000
+7.44967000000E+006, -7.19118781640E+001, +0.00000000000E+000
+8.09964000000E+006, -7.28640554808E+001, +0.00000000000E+000
+8.74961000000E+006, -7.14849186336E+001, +0.00000000000E+000
+9.39958000000E+006, -7.13473562620E+001, +0.00000000000E+000
+1.00495500000E+007, -7.08808010532E+001, +0.00000000000E+000
+1.06995200000E+007, -6.99337554642E+001, +0.00000000000E+000
+1.13494900000E+007, -6.94411835048E+001, +0.00000000000E+000
+1.19994600000E+007, -6.89140749888E+001, +0.00000000000E+000
+1.26494300000E+007, -6.87907443012E+001, +0.00000000000E+000
+1.32994000000E+007, -6.80887546293E+001, +0.00000000000E+000
+1.39493700000E+007, -6.77009165287E+001, +0.00000000000E+000
+1.45993400000E+007, -6.75701608488E+001, +0.00000000000E+000
+1.52493100000E+007, -6.69897116834E+001, +0.00000000000E+000
+1.58992800000E+007, -6.66311196104E+001, +0.00000000000E+000
+1.65492500000E+007, -6.63837979525E+001, +0.00000000000E+000
+1.71992200000E+007, -6.58456047264E+001, +0.00000000000E+000
+1.78491900000E+007, -6.57851864693E+001, +0.00000000000E+000
+1.84991600000E+007, -6.55610972247E+001, +0.00000000000E+000
+1.91491300000E+007, -6.51563344324E+001, +0.00000000000E+000
+1.97991000000E+007, -6.51069239985E+001, +0.00000000000E+000
+2.04490700000E+007, -6.46157529381E+001, +0.00000000000E+000
