"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -4.92339046464E-007, +0.00000000000E+000
+9.49970000000E+005, -4.92339046464E-007, +0.00000000000E+000
+1.59994000000E+006, -1.44432590058E-007, +0.00000000000E+000
+2.24991000000E+006, +2.94291038030E-007, +0.00000000000E+000
+2.89988000000E+006, +1.45960822626E-007, +0.00000000000E+000
+3.54985000000E+006, +1.64715514111E-007, +0.00000000000E+000
+4.19982000000E+006, -2.46670369151E-007, +0.00000000000E+000
+4.84979000000E+006, +3.62705554305E-007, +0.00000000000E+000
+5.49976000000E+006, -1.37822569597E-007, +0.00000000000E+000
+6.14973000000E+006, -2.66675322618E-007, +0.00000000000E+000
+6.79970000000E+006, +5.14136921628E-008, +0.00000000000E+000
+7.44967000000E+006, +7.34178447823E-008, +0.00000000000E+000
+8.09964000000E+006, +2.98871496683E-008, +0.00000000000E+000
+8.74961000000E+006, -2.57658333436E-008, +0.00000000000E+000
+9.39958000000E+006, -1.57938142365E-008, +0.00000000000E+000
+1.00495500000E+007, +2.08829170780E-008, +0.00000000000E+000
+1.06995200000E+007, -6.12249160924E-009, +0.00000000000E+000
+1.13494900000E+007, +6.48082845912E-009, +0.00000000000E+000
+1.19994600000E+007, -9.66606017993E-009, +0.00000000000E+000
+1.26494300000E+007, +7.03557060902E-009, +0.00000000000E+000
+1.32994000000E+007, +1.22531725504E-008, +0.00000000000E+000
+1.39493700000E+007, -9.89205912671E-009, +0.00000000000E+000
+1.45993400000E+007, -1.04732335362E-009, +0.00000000000E+000
+1.52493100000E+007, -5.81868059230E-009, +0.00000000000E+000
+1.58992800000E+007, +4.13767612620E-009, +0.00000000000E+000
+1.65492500000E+007, -4.09876753604E-009, +0.00000000000E+000
+1.71992200000E+007, -3.89119044510E-009, +0.00000000000E+000
+1.78491900000E+007, -1.73693442511E-008, +0.00000000000E+000
+1.84991600000E+007, +1.45383388801E-009, +0.00000000000E+000
+1.91491300000E+007, -7.59130935483E-009, +0.00000000000E+000
+1.97991000000E+007, +8.94383263795E-009, +0.00000000000E+000
+2.04490700000E+007, +1.31700720545E-009, +0.00000000000E+000
+2.10990400000E+007, +5.16457705070E-009, +0.00000000000E+000
+2.17490100000E+007, +5.00546016082E-009, +0.00000000000E+000
+2.23989800000E+007, -7.33113669867E-010, +0.00000000000E+000
+2.30489500000E+007, +9.01789498486E-009, +0.00000000000E+000
+2.36989200000E+007, -1.26755695944E-009, +0.00000000000E+000
+2.43488900000E+007, +1.52045431357E-009, +0.00000000000E+000
+2.49988600000E+007, -3.84465485855E-009, +0.00000000000E+000
+2.56488300000E+007, +1.15575557042E-009, +0.00000000000E+000
+2.62988000000E+007, +6.23617889081E-009, +0.00000000000E+000
+2.69487700000E+007, +3.02349171243E-009, +0.00000000000E+000
+2.75987400000E+007, -1.26848847845E-009, +0.00000000000E+000
+2.82487100000E+007, +5.96732063878E-009, +0.00000000000E+000
+2.88986800000E+007, -4.44791351098E-009, +0.00000000000E+000
+2.95486500000E+007, -5.01249081584E-009, +0.00000000000E+000
+3.01986200000E+007, -6.84203796525E-009, +0.00000000000E+000
+3.08485900000E+007, -4.75629358079E-009, +0.00000000000E+000
+3.14985600000E+007, -4.25954566195E-009, +0.00000000000E+000
+3.21485300000E+007, +1.04577921345E-008, +0.00000000000E+000
+3.27985000000E+007, +7.06236153079E-009, +0.00000000000E+000
+3.34484700000E+007, +8.18915819928E-009, +0.00000000000E+000
+3.40984400000E+007, -2.26268270811E-009, +0.00000000000E+000
+3.47484100000E+007, +1.06833103615E-008, +0.00000000000E+000
+3.53983800000E+007, +1.88308904767E-010, +0.00000000000E+000
+3.60483500000E+007, +5.70567854294E-009, +0.00000000000E+000
+3.66983200000E+007, -3.36828934628E-009, +0.00000000000E+000
+3.73482900000E+007, +1.02288239223E-009, +0.00000000000E+000
+3.79982600000E+007, -1.96810329125E-009, +0.00000000000E+000
+3.86482300000E+007, -4.20062418986E-009, +0.00000000000E+000
+3.92982000000E+007, -3.72303667408E-009, +0.00000000000E+000
+3.99481700000E+007, -8.78046014355E-009, +0.00000000000E+000
+4.05981400000E+007, -2.86075283141E-009, +0.00000000000E+000
+4.12481100000E+007, -1.13906534522E-008, +0.00000000000E+000
+4.18980800000E+007, -1.47991398215E-008, +0.00000000000E+000
+4.25480500000E+007, -9.39761840652E-009, +0.00000000000E+000
+4.31980200000E+007, -1.02805418026E-010, +0.00000000000E+000
+4.38479900000E+007, -3.17797166574E-009, +0.00000000000E+000
+4.44979600000E+007, -7.75746278982E-010, +0.00000000000E+000
+4.51479300000E+007, -1.45236313947E-009, +0.00000000000E+000
+4.57979000000E+007, +1.20224165065E-009, +0.00000000000E+000
+4.64478700000E+007, +1.16479304031E-009, +0.00000000000E+000
+4.70978400000E+007, +2.68405075577E-009, +0.00000000000E+000
+4.77478100000E+007, +7.31665633840E-009, +0.00000000000E+000
+4.83977800000E+007, +7.22514015969E-009, +0.00000000000E+000
+4.90477500000E+007, +6.14115689997E-009, +0.00000000000E+000
+4.96977200000E+007, +2.99712621373E-009, +0.00000000000E+000
+5.03476900000E+007, +2.37630335806E-009, +0.00000000000E+000
