"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +6.42124676076E-003, +0.00000000000E+000
+9.49970000000E+005, -1.39787586137E-003, +0.00000000000E+000
+1.59994000000E+006, -2.14771265218E-003, +0.00000000000E+000
+2.24991000000E+006, +8.66130866045E-004, +0.00000000000E+000
+2.89988000000E+006, +6.33691627219E-005, +0.00000000000E+000
+3.54985000000E+006, -2.32278872274E-003, +0.00000000000E+000
+4.19982000000E+006, +7.73479504417E-004, +0.00000000000E+000
+4.84979000000E+006, +1.59814234546E-003, +0.00000000000E+000
+5.49976000000E+006, -1.70668553585E-003, +0.00000000000E+000
+6.14973000000E+006, -1.98003041810E-003, +0.00000000000E+000
+6.79970000000E+006, -1.94979637932E-003, +0.00000000000E+000
+7.44967000000E+006, -1.92708151838E-004, +0.00000000000E+000
+8.09964000000E+006, -3.49491990085E-003, +0.00000000000E+000
+8.74961000000E+006, -7.70442254660E-004, +0.00000000000E+000
+9.39958000000E+006, -1.89911139886E-003, +0.00000000000E+000
+1.00495500000E+007, -7.67446258524E-004, +0.00000000000E+000
+1.06995200000E+007, -2.22072650302E-003, +0.00000000000E+000
+1.13494900000E+007, -4.20588141690E-003, +0.00000000000E+000
+1.19994600000E+007, -2.53093271528E-003, +0.00000000000E+000
+1.26494300000E+007, -2.30901396705E-003, +0.00000000000E+000
+1.32994000000E+007, -8.32761847278E-004, +0.00000000000E+000
+1.39493700000E+007, -2.36316013918E-003, +0.00000000000E+000
+1.45993400000E+007, -2.51917947632E-003, +0.00000000000E+000
+1.52493100000E+007, -3.69273602376E-003, +0.00000000000E+000
+1.58992800000E+007, -1.14576285007E-003, +0.00000000000E+000
+1.65492500000E+007, -3.03397805497E-003, +0.00000000000E+000
+1.71992200000E+007, -1.18558190109E-003, +0.00000000000E+000
+1.78491900000E+007, +4.12870087025E-003, +0.00000000000E+000
+1.84991600000E+007, +4.35008496626E-003, +0.00000000000E+000
+1.91491300000E+007, +7.65643170781E-004, +0.00000000000E+000
+1.97991000000E+007, -4.27136091583E-003, +0.00000000000E+000
+2.04490700000E+007, -7.59579792113E-003, +0.00000000000E+000
+2.10990400000E+007, -9.32681126757E-003, +0.00000000000E+000
+2.17490100000E+007, -8.84791138709E-003, +0.00000000000E+000
+2.23989800000E+007, -5.04267735315E-003, +0.00000000000E+000
+2.30489500000E+007, -3.01596698126E-003, +0.00000000000E+000
+2.36989200000E+007, -5.50708704873E-003, +0.00000000000E+000
+2.43488900000E+007, -7.45437010645E-003, +0.00000000000E+000
+2.49988600000E+007, -4.46873501634E-003, +0.00000000000E+000
+2.56488300000E+007, -2.32475643180E-003, +0.00000000000E+000
+2.62988000000E+007, -4.31951344673E-003, +0.00000000000E+000
+2.69487700000E+007, -4.07426989174E-003, +0.00000000000E+000
+2.75987400000E+007, -3.93860422985E-003, +0.00000000000E+000
+2.82487100000E+007, -2.97820074502E-003, +0.00000000000E+000
+2.88986800000E+007, -3.58493509873E-003, +0.00000000000E+000
+2.95486500000E+007, -2.89205180539E-003, +0.00000000000E+000
+3.01986200000E+007, -4.26038016468E-003, +0.00000000000E+000
+3.08485900000E+007, -3.55576435216E-003, +0.00000000000E+000
+3.14985600000E+007, -2.63523959782E-003, +0.00000000000E+000
+3.21485300000E+007, -3.49595202814E-003, +0.00000000000E+000
+3.27985000000E+007, -3.36988598170E-003, +0.00000000000E+000
+3.34484700000E+007, -4.11418144551E-003, +0.00000000000E+000
+3.40984400000E+007, -4.66324297160E-003, +0.00000000000E+000
+3.47484100000E+007, -5.05973388309E-003, +0.00000000000E+000
+3.53983800000E+007, -5.62963979047E-003, +0.00000000000E+000
+3.60483500000E+007, -6.06122340040E-003, +0.00000000000E+000
+3.66983200000E+007, -6.64245753788E-003, +0.00000000000E+000
+3.73482900000E+007, -6.98125789034E-003, +0.00000000000E+000
+3.79982600000E+007, -6.37982720530E-003, +0.00000000000E+000
+3.86482300000E+007, -7.66083051712E-003, +0.00000000000E+000
