"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -5.25991255060E-001, +0.00000000000E+000
+9.49970000000E+005, -6.32793374224E-001, +0.00000000000E+000
+1.59994000000E+006, -7.89884395673E-001, +0.00000000000E+000
+2.24991000000E+006, -9.89383215931E-001, +0.00000000000E+000
+2.89988000000E+006, -1.18036875038E+000, +0.00000000000E+000
+3.54985000000E+006, -1.40534722850E+000, +0.00000000000E+000
+4.19982000000E+006, -1.58508398629E+000, +0.00000000000E+000
+4.84979000000E+006, -1.78854556553E+000, +0.00000000000E+000
+5.49976000000E+006, -1.99099684785E+000, +0.00000000000E+000
+6.14973000000E+006, -2.18878745818E+000, +0.00000000000E+000
+6.79970000000E+006, -2.39954851812E+000, +0.00000000000E+000
+7.44967000000E+006, -2.61606647224E+000, +0.00000000000E+000
+8.09964000000E+006, -2.82371942605E+000, +0.00000000000E+000
+8.74961000000E+006, -3.02021282311E+000, +0.00000000000E+000
+9.39958000000E+006, -3.23137327157E+000, +0.00000000000E+000
+1.00495500000E+007, -3.43217768639E+000, +0.00000000000E+000
+1.06995200000E+007, -3.62277598916E+000, +0.00000000000E+000
+1.13494900000E+007, -3.81259485874E+000, +0.00000000000E+000
+1.19994600000E+007, -4.01708952233E+000, +0.00000000000E+000
+1.26494300000E+007, -4.23343636324E+000, +0.00000000000E+000
+1.32994000000E+007, -4.43639999095E+000, +0.00000000000E+000
+1.39493700000E+007, -4.65110497064E+000, +0.00000000000E+000
+1.45993400000E+007, -4.84969757214E+000, +0.00000000000E+000
+1.52493100000E+007, -5.06425501230E+000, +0.00000000000E+000
+1.58992800000E+007, -5.24571743191E+000, +0.00000000000E+000
+1.65492500000E+007, -5.45541264757E+000, +0.00000000000E+000
+1.71992200000E+007, -5.67722819758E+000, +0.00000000000E+000
+1.78491900000E+007, -5.89806823205E+000, +0.00000000000E+000
+1.84991600000E+007, -6.10828762137E+000, +0.00000000000E+000
+1.91491300000E+007, -6.29942009817E+000, +0.00000000000E+000
+1.97991000000E+007, -6.45787498375E+000, +0.00000000000E+000
+2.04490700000E+007, -6.66646766478E+000, +0.00000000000E+000
+2.10990400000E+007, -6.89730401670E+000, +0.00000000000E+000
+2.17490100000E+007, -7.09538998081E+000, +0.00000000000E+000
+2.23989800000E+007, -7.28224969836E+000, +0.00000000000E+000
