"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -3.10220713140E-007, +0.00000000000E+000
+9.49970000000E+005, -3.10220713140E-007, +0.00000000000E+000
+1.59994000000E+006, +1.22649273057E-007, +0.00000000000E+000
+2.24991000000E+006, +1.16310460450E-007, +0.00000000000E+000
+2.89988000000E+006, -1.06336969348E-007, +0.00000000000E+000
+3.54985000000E+006, +7.66012801909E-008, +0.00000000000E+000
+4.19982000000E+006, -1.56848619106E-009, +0.00000000000E+000
+4.84979000000E+006, -1.98110844657E-007, +0.00000000000E+000
+5.49976000000E+006, +1.79584748107E-007, +0.00000000000E+000
+6.14973000000E+006, -5.57862403912E-008, +0.00000000000E+000
+6.79970000000E+006, -1.53837874019E-007, +0.00000000000E+000
+7.44967000000E+006, +2.03999546181E-007, +0.00000000000E+000
+8.09964000000E+006, +1.93769242479E-008, +0.00000000000E+000
+8.74961000000E+006, -4.54513863851E-009, +0.00000000000E+000
+9.39958000000E+006, -2.39229498358E-008, +0.00000000000E+000
+1.00495500000E+007, +1.65967136922E-008, +0.00000000000E+000
+1.06995200000E+007, -2.01065743159E-008, +0.00000000000E+000
+1.13494900000E+007, +1.75185871492E-008, +0.00000000000E+000
+1.19994600000E+007, -4.99048035171E-009, +0.00000000000E+000
+1.26494300000E+007, +8.59104483423E-009, +0.00000000000E+000
+1.32994000000E+007, -2.16890863727E-009, +0.00000000000E+000
+1.39493700000E+007, +6.12630983119E-009, +0.00000000000E+000
+1.45993400000E+007, -1.32144060363E-008, +0.00000000000E+000
+1.52493100000E+007, -1.32928938933E-008, +0.00000000000E+000
+1.58992800000E+007, +1.24807220396E-008, +0.00000000000E+000
+1.65492500000E+007, -4.15686063444E-009, +0.00000000000E+000
+1.71992200000E+007, +5.78878219883E-009, +0.00000000000E+000
+1.78491900000E+007, +2.51656641615E-009, +0.00000000000E+000
+1.84991600000E+007, +1.04247106270E-008, +0.00000000000E+000
+1.91491300000E+007, +4.87950018852E-009, +0.00000000000E+000
+1.97991000000E+007, -2.77836257975E-008, +0.00000000000E+000
+2.04490700000E+007, +4.80821485305E-009, +0.00000000000E+000
+2.10990400000E+007, -1.82446889059E-009, +0.00000000000E+000
+2.17490100000E+007, -1.64656933441E-008, +0.00000000000E+000
+2.23989800000E+007, +3.44366267077E-009, +0.00000000000E+000
+2.30489500000E+007, -1.77749579545E-008, +0.00000000000E+000
+2.36989200000E+007, +9.99862103225E-010, +0.00000000000E+000
+2.43488900000E+007, +4.19092539801E-009, +0.00000000000E+000
+2.49988600000E+007, +3.14633275052E-009, +0.00000000000E+000
+2.56488300000E+007, +5.67335241273E-009, +0.00000000000E+000
