"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.21835601273E-002, +0.00000000000E+000
+9.49970000000E+005, -1.54378392515E-002, +0.00000000000E+000
+1.59994000000E+006, -8.89923950901E-003, +0.00000000000E+000
+2.24991000000E+006, -7.90003863329E-003, +0.00000000000E+000
+2.89988000000E+006, -1.01878644315E-002, +0.00000000000E+000
+3.54985000000E+006, -3.91232227905E-003, +0.00000000000E+000
+4.19982000000E+006, -1.46958147665E-003, +0.00000000000E+000
+4.84979000000E+006, -5.56548105371E-003, +0.00000000000E+000
+5.49976000000E+006, -6.32512005477E-003, +0.00000000000E+000
+6.14973000000E+006, -1.21120036129E-002, +0.00000000000E+000
+6.79970000000E+006, -1.09012322698E-002, +0.00000000000E+000
+7.44967000000E+006, -8.94028892605E-003, +0.00000000000E+000
+8.09964000000E+006, -1.71816784907E-003, +0.00000000000E+000
+8.74961000000E+006, -4.56832752282E-003, +0.00000000000E+000
+9.39958000000E+006, -2.16009609391E-003, +0.00000000000E+000
+1.00495500000E+007, -2.67959025250E-003, +0.00000000000E+000
+1.06995200000E+007, -9.63004427052E-003, +0.00000000000E+000
+1.13494900000E+007, -5.23462844137E-003, +0.00000000000E+000
+1.19994600000E+007, -6.36840830869E-003, +0.00000000000E+000
+1.26494300000E+007, -6.55986696327E-003, +0.00000000000E+000
+1.32994000000E+007, -4.18671900069E-003, +0.00000000000E+000
+1.39493700000E+007, -6.46928432242E-003, +0.00000000000E+000
+1.45993400000E+007, -5.03623999717E-003, +0.00000000000E+000
+1.52493100000E+007, -4.05597209718E-003, +0.00000000000E+000
+1.58992800000E+007, -5.48364666114E-003, +0.00000000000E+000
+1.65492500000E+007, -5.96831578066E-003, +0.00000000000E+000
+1.71992200000E+007, -8.10512941074E-003, +0.00000000000E+000
+1.78491900000E+007, -1.83075882328E-003, +0.00000000000E+000
+1.84991600000E+007, -3.72728515647E-004, +0.00000000000E+000
+1.91491300000E+007, -3.99159944966E-003, +0.00000000000E+000
+1.97991000000E+007, -9.67946511959E-003, +0.00000000000E+000
+2.04490700000E+007, -1.27888265800E-002, +0.00000000000E+000
+2.10990400000E+007, -1.08897004647E-002, +0.00000000000E+000
+2.17490100000E+007, -1.18804393752E-002, +0.00000000000E+000
+2.23989800000E+007, -1.00140312906E-002, +0.00000000000E+000
+2.30489500000E+007, -3.50417580705E-003, +0.00000000000E+000
+2.36989200000E+007, -4.95834764365E-003, +0.00000000000E+000
+2.43488900000E+007, -4.89167897764E-003, +0.00000000000E+000
+2.49988600000E+007, -5.92144775030E-003, +0.00000000000E+000
+2.56488300000E+007, -2.06935028333E-003, +0.00000000000E+000
+2.62988000000E+007, -1.74361622051E-003, +0.00000000000E+000
+2.69487700000E+007, -1.32110007491E-004, +0.00000000000E+000
+2.75987400000E+007, +7.91752679158E-004, +0.00000000000E+000
+2.82487100000E+007, +6.32120652827E-004, +0.00000000000E+000
+2.88986800000E+007, +2.22082765514E-003, +0.00000000000E+000
+2.95486500000E+007, +1.44575132544E-004, +0.00000000000E+000
+3.01986200000E+007, +1.79519492629E-003, +0.00000000000E+000
+3.08485900000E+007, +3.88688802883E-003, +0.00000000000E+000
+3.14985600000E+007, -3.95872137568E-003, +0.00000000000E+000
+3.21485300000E+007, +4.94283623489E-004, +0.00000000000E+000
+3.27985000000E+007, +4.31967051998E-003, +0.00000000000E+000
+3.34484700000E+007, -2.27934046256E-004, +0.00000000000E+000
+3.40984400000E+007, +8.63653474409E-004, +0.00000000000E+000
+3.47484100000E+007, +5.44187884190E-003, +0.00000000000E+000
+3.53983800000E+007, +2.16336616835E-004, +0.00000000000E+000
+3.60483500000E+007, +4.37048092845E-003, +0.00000000000E+000
+3.66983200000E+007, +3.41524640116E-003, +0.00000000000E+000
+3.73482900000E+007, -2.97682876832E-003, +0.00000000000E+000
+3.79982600000E+007, -3.25481891671E-004, +0.00000000000E+000
+3.86482300000E+007, +3.12789926744E-003, +0.00000000000E+000
+3.92982000000E+007, +3.97581926062E-003, +0.00000000000E+000
+3.99481700000E+007, +1.28365774857E-003, +0.00000000000E+000
+4.05981400000E+007, +1.57497148423E-003, +0.00000000000E+000
+4.12481100000E+007, +2.89386526384E-003, +0.00000000000E+000
+4.18980800000E+007, +2.77891817838E-003, +0.00000000000E+000
+4.25480500000E+007, +5.19033241927E-003, +0.00000000000E+000
+4.31980200000E+007, +4.15953116583E-003, +0.00000000000E+000
+4.38479900000E+007, +2.12253533211E-003, +0.00000000000E+000
+4.44979600000E+007, +4.78177846814E-003, +0.00000000000E+000
+4.51479300000E+007, +1.74726098668E-003, +0.00000000000E+000
+4.57979000000E+007, +2.09431875037E-003, +0.00000000000E+000
+4.64478700000E+007, +3.63805441969E-003, +0.00000000000E+000
+4.70978400000E+007, -5.32597634118E-004, +0.00000000000E+000
+4.77478100000E+007, +4.47310738519E-003, +0.00000000000E+000
+4.83977800000E+007, +5.49788278941E-004, +0.00000000000E+000
+4.90477500000E+007, +2.56477611302E-003, +0.00000000000E+000
+4.96977200000E+007, +4.18420488881E-003, +0.00000000000E+000
+5.03476900000E+007, +2.22527260938E-003, +0.00000000000E+000
+5.09976600000E+007, -6.19068967013E-004, +0.00000000000E+000
+5.16476300000E+007, +6.37095557060E-003, +0.00000000000E+000
+5.22976000000E+007, +4.79502583315E-003, +0.00000000000E+000
+5.29475700000E+007, +3.79435646103E-003, +0.00000000000E+000
+5.35975400000E+007, +4.00149978314E-003, +0.00000000000E+000
+5.42475100000E+007, +2.50421403368E-003, +0.00000000000E+000
+5.48974800000E+007, +3.25824373247E-003, +0.00000000000E+000
+5.55474500000E+007, +2.55010720027E-003, +0.00000000000E+000
+5.61974200000E+007, +2.75922783095E-003, +0.00000000000E+000
+5.68473900000E+007, +3.73295464064E-003, +0.00000000000E+000
+5.74973600000E+007, +7.72427543234E-004, +0.00000000000E+000
+5.81473300000E+007, +3.95668818956E-003, +0.00000000000E+000
+5.87973000000E+007, +4.34044345211E-004, +0.00000000000E+000
+5.94472700000E+007, +1.44163271010E-003, +0.00000000000E+000
+6.00972400000E+007, +2.90145482476E-003, +0.00000000000E+000
+6.07472100000E+007, +1.32482580768E-003, +0.00000000000E+000
+6.13971800000E+007, +1.11261908425E-003, +0.00000000000E+000
+6.20471500000E+007, +5.25688571181E-003, +0.00000000000E+000
+6.26971200000E+007, +1.90329660954E-003, +0.00000000000E+000
+6.33470900000E+007, +2.17889616602E-003, +0.00000000000E+000
+6.39970600000E+007, +2.58366166536E-003, +0.00000000000E+000
+6.46470300000E+007, +1.27094117574E-003, +0.00000000000E+000
+6.52970000000E+007, +3.05512522124E-003, +0.00000000000E+000
+6.59469700000E+007, -2.53850108614E-003, +0.00000000000E+000
+6.65969400000E+007, +6.10580636893E-004, +0.00000000000E+000
+6.72469100000E+007, +5.69884348912E-004, +0.00000000000E+000
+6.78968800000E+007, -7.75352776535E-004, +0.00000000000E+000
+6.85468500000E+007, -1.21088337528E-003, +0.00000000000E+000
+6.91968200000E+007, +1.42000586592E-003, +0.00000000000E+000
+6.98467900000E+007, -8.27726144640E-004, +0.00000000000E+000
+7.04967600000E+007, +1.69306699555E-004, +0.00000000000E+000
+7.11467300000E+007, +1.92248223655E-003, +0.00000000000E+000
+7.17967000000E+007, -1.67298712745E-003, +0.00000000000E+000
+7.24466700000E+007, +8.32389785690E-004, +0.00000000000E+000
+7.30966400000E+007, -3.21248808578E-003, +0.00000000000E+000
+7.37466100000E+007, +2.41068437694E-003, +0.00000000000E+000
+7.43965800000E+007, +2.81509732537E-003, +0.00000000000E+000
+7.50465500000E+007, +1.00139699868E-003, +0.00000000000E+000
+7.56965200000E+007, -1.05334567208E-004, +0.00000000000E+000
+7.63464900000E+007, +4.21187351469E-003, +0.00000000000E+000
+7.69964600000E+007, +3.83658366835E-003, +0.00000000000E+000
+7.76464300000E+007, -1.37204971029E-003, +0.00000000000E+000
+7.82964000000E+007, +4.13917558491E-003, +0.00000000000E+000
+7.89463700000E+007, +6.58747385309E-004, +0.00000000000E+000
+7.95963400000E+007, +5.63226568602E-004, +0.00000000000E+000
+8.02463100000E+007, +2.63441214054E-003, +0.00000000000E+000
+8.08962800000E+007, +7.01923643899E-005, +0.00000000000E+000
+8.15462500000E+007, +1.82476872065E-003, +0.00000000000E+000
+8.21962200000E+007, -3.63419980195E-003, +0.00000000000E+000
+8.28461900000E+007, -7.23171640019E-004, +0.00000000000E+000
+8.34961600000E+007, -2.79945237375E-004, +0.00000000000E+000
+8.41461300000E+007, +1.61105993766E-003, +0.00000000000E+000
+8.47961000000E+007, -2.26229351072E-003, +0.00000000000E+000
+8.54460700000E+007, -3.05854692980E-003, +0.00000000000E+000
+8.60960400000E+007, -2.83712147201E-003, +0.00000000000E+000
+8.67460100000E+007, +2.12763833177E-004, +0.00000000000E+000
+8.73959800000E+007, +5.93728476737E-004, +0.00000000000E+000
+8.80459500000E+007, +1.62905357594E-003, +0.00000000000E+000
+8.86959200000E+007, +1.22886526783E-003, +0.00000000000E+000
+8.93458900000E+007, -2.50837998906E-003, +0.00000000000E+000
+8.99958600000E+007, -6.59013016969E-004, +0.00000000000E+000
+9.06458300000E+007, +5.86700891032E-004, +0.00000000000E+000
+9.12958000000E+007, -2.85399438739E-004, +0.00000000000E+000
+9.19457700000E+007, -2.90520123394E-003, +0.00000000000E+000
+9.25957400000E+007, +1.81444849016E-003, +0.00000000000E+000
+9.32457100000E+007, -2.09344531139E-003, +0.00000000000E+000
+9.38956800000E+007, +3.77041613329E-004, +0.00000000000E+000
+9.45456500000E+007, +8.71209967299E-004, +0.00000000000E+000
+9.51956200000E+007, +1.04462725684E-004, +0.00000000000E+000
+9.58455900000E+007, -8.78917875357E-004, +0.00000000000E+000
+9.64955600000E+007, -1.50492434798E-004, +0.00000000000E+000
+9.71455300000E+007, +1.61775124979E-003, +0.00000000000E+000
+9.77955000000E+007, +4.22653974004E-003, +0.00000000000E+000
+9.84454700000E+007, -2.80970542311E-003, +0.00000000000E+000
+9.90954400000E+007, -3.59060126253E-004, +0.00000000000E+000
+9.97454100000E+007, +3.43353039655E-004, +0.00000000000E+000
+1.00395380000E+008, +1.60111273140E-003, +0.00000000000E+000
+1.01045350000E+008, +4.12222581745E-003, +0.00000000000E+000
+1.01695320000E+008, +4.05415444508E-003, +0.00000000000E+000
+1.02345290000E+008, +3.26268364554E-003, +0.00000000000E+000
+1.02995260000E+008, +2.21535161950E-003, +0.00000000000E+000
+1.03645230000E+008, +5.83166890309E-003, +0.00000000000E+000
+1.04295200000E+008, -1.16115474129E-004, +0.00000000000E+000
+1.04945170000E+008, +4.03011916292E-004, +0.00000000000E+000
+1.05595140000E+008, +3.47217807887E-003, +0.00000000000E+000
+1.06245110000E+008, +2.38208266604E-003, +0.00000000000E+000
+1.06895080000E+008, -1.85615918865E-003, +0.00000000000E+000
+1.07545050000E+008, +2.09348701152E-003, +0.00000000000E+000
+1.08195020000E+008, +4.62504042589E-003, +0.00000000000E+000
+1.08844990000E+008, +5.53212901122E-004, +0.00000000000E+000
+1.09494960000E+008, -1.55456325062E-003, +0.00000000000E+000
+1.10144930000E+008, +4.83793911512E-003, +0.00000000000E+000
+1.10794900000E+008, +4.43731344652E-004, +0.00000000000E+000
+1.11444870000E+008, +9.85117664261E-004, +0.00000000000E+000
+1.12094840000E+008, +2.52544949950E-003, +0.00000000000E+000
+1.12744810000E+008, +6.66574292459E-003, +0.00000000000E+000
+1.13394780000E+008, +5.22418545974E-003, +0.00000000000E+000
+1.14044750000E+008, -1.88564937968E-004, +0.00000000000E+000
+1.14694720000E+008, +4.88547027406E-003, +0.00000000000E+000
+1.15344690000E+008, +2.04356257845E-003, +0.00000000000E+000
+1.15994660000E+008, +5.54439455478E-003, +0.00000000000E+000
+1.16644630000E+008, +3.50150704156E-003, +0.00000000000E+000
+1.17294600000E+008, +1.59065984603E-003, +0.00000000000E+000
+1.17944570000E+008, +2.70233555144E-003, +0.00000000000E+000
+1.18594540000E+008, +1.67702796195E-003, +0.00000000000E+000
+1.19244510000E+008, +2.03825166044E-003, +0.00000000000E+000
+1.19894480000E+008, +1.25842991725E-003, +0.00000000000E+000
+1.20544450000E+008, +3.63740123857E-003, +0.00000000000E+000
+1.21194420000E+008, +2.66334852974E-003, +0.00000000000E+000
+1.21844390000E+008, +3.63134189459E-003, +0.00000000000E+000
+1.22494360000E+008, +3.11064745948E-003, +0.00000000000E+000
+1.23144330000E+008, +3.81564995553E-003, +0.00000000000E+000
+1.23794300000E+008, +3.37200229667E-003, +0.00000000000E+000
+1.24444270000E+008, +2.16020484396E-003, +0.00000000000E+000
+1.25094240000E+008, +6.05735318521E-004, +0.00000000000E+000
+1.25744210000E+008, +1.47584523682E-003, +0.00000000000E+000
+1.26394180000E+008, +3.54866466348E-003, +0.00000000000E+000
+1.27044150000E+008, +3.14779207580E-003, +0.00000000000E+000
+1.27694120000E+008, +2.89593849693E-003, +0.00000000000E+000
+1.28344090000E+008, +2.90345721398E-003, +0.00000000000E+000
+1.28994060000E+008, +9.69733798363E-004, +0.00000000000E+000
