"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.34611526185E+002, +0.00000000000E+000
+9.49970000000E+005, -1.78595970356E+002, +0.00000000000E+000
+1.59994000000E+006, +1.05844508661E+002, +0.00000000000E+000
+2.24991000000E+006, -1.47477621267E+002, +0.00000000000E+000
+2.89988000000E+006, +6.46421383871E+001, +0.00000000000E+000
+3.54985000000E+006, -1.27569860260E+002, +0.00000000000E+000
+4.19982000000E+006, -1.05329218941E+002, +0.00000000000E+000
+4.84979000000E+006, -1.57567470146E+002, +0.00000000000E+000
+5.49976000000E+006, +1.65297459505E+002, +0.00000000000E+000
+6.14973000000E+006, -5.43425181192E+001, +0.00000000000E+000
+6.79970000000E+006, +3.94247927545E+001, +0.00000000000E+000
+7.44967000000E+006, +2.05530608664E+001, +0.00000000000E+000
+8.09964000000E+006, +4.96148755078E+001, +0.00000000000E+000
+8.74961000000E+006, +1.36923717400E+002, +0.00000000000E+000
+9.39958000000E+006, -1.76524539500E+002, +0.00000000000E+000
+1.00495500000E+007, -4.92528643573E+001, +0.00000000000E+000
+1.06995200000E+007, -8.48597321936E+001, +0.00000000000E+000
+1.13494900000E+007, -7.76245059177E+001, +0.00000000000E+000
+1.19994600000E+007, +1.31772424178E+002, +0.00000000000E+000
+1.26494300000E+007, +1.16369985970E+002, +0.00000000000E+000
+1.32994000000E+007, +9.79928927393E+001, +0.00000000000E+000
+1.39493700000E+007, +5.27212028535E+001, +0.00000000000E+000
+1.45993400000E+007, +3.61184588160E+001, +0.00000000000E+000
+1.52493100000E+007, +1.18125488254E+002, +0.00000000000E+000
+1.58992800000E+007, -6.44866596115E+001, +0.00000000000E+000
+1.65492500000E+007, +8.59392864274E+000, +0.00000000000E+000
+1.71992200000E+007, -5.00662873278E+001, +0.00000000000E+000
+1.78491900000E+007, +1.23559263130E+002, +0.00000000000E+000
+1.84991600000E+007, +1.17102812500E+002, +0.00000000000E+000
+1.91491300000E+007, +1.09524250757E+002, +0.00000000000E+000
+1.97991000000E+007, -5.20345444077E+001, +0.00000000000E+000
+2.04490700000E+007, -1.42875642153E+002, +0.00000000000E+000
+2.10990400000E+007, +1.62059951610E+002, +0.00000000000E+000
+2.17490100000E+007, +1.45778579167E+002, +0.00000000000E+000
+2.23989800000E+007, -1.50982122525E+002, +0.00000000000E+000
+2.30489500000E+007, -4.88282007142E+001, +0.00000000000E+000
+2.36989200000E+007, +6.76358581672E+001, +0.00000000000E+000
+2.43488900000E+007, +1.32773911158E+002, +0.00000000000E+000
+2.49988600000E+007, -1.11058338804E+002, +0.00000000000E+000
+2.56488300000E+007, -6.66388244024E+001, +0.00000000000E+000
+2.62988000000E+007, -1.17014318597E+002, +0.00000000000E+000
+2.69487700000E+007, +6.12136800441E+001, +0.00000000000E+000
+2.75987400000E+007, +1.12804408054E+001, +0.00000000000E+000
+2.82487100000E+007, -1.10557207476E+002, +0.00000000000E+000
+2.88986800000E+007, -1.55163558042E+002, +0.00000000000E+000
+2.95486500000E+007, -8.82800789895E+001, +0.00000000000E+000
+3.01986200000E+007, +6.68969223964E+001, +0.00000000000E+000
+3.08485900000E+007, -1.27365253383E+002, +0.00000000000E+000
+3.14985600000E+007, -1.22926743238E+001, +0.00000000000E+000
+3.21485300000E+007, -9.70187308266E+001, +0.00000000000E+000
+3.27985000000E+007, +7.45480733947E+001, +0.00000000000E+000
+3.34484700000E+007, -2.50681519527E+001, +0.00000000000E+000
+3.40984400000E+007, -3.21323375817E+000, +0.00000000000E+000
+3.47484100000E+007, +1.05686598746E+002, +0.00000000000E+000
+3.53983800000E+007, -4.08056820207E+001, +0.00000000000E+000
+3.60483500000E+007, +1.12241537223E+002, +0.00000000000E+000
+3.66983200000E+007, +1.21532826894E+002, +0.00000000000E+000
+3.73482900000E+007, +1.54048470712E+002, +0.00000000000E+000
+3.79982600000E+007, +6.49258549291E+001, +0.00000000000E+000
+3.86482300000E+007, -1.41363251177E+002, +0.00000000000E+000
+3.92982000000E+007, -3.15607517005E+001, +0.00000000000E+000
+3.99481700000E+007, -1.17549633163E+002, +0.00000000000E+000
+4.05981400000E+007, +1.12201630826E+002, +0.00000000000E+000
+4.12481100000E+007, +6.04515031669E-001, +0.00000000000E+000
+4.18980800000E+007, -1.14630006582E+002, +0.00000000000E+000
+4.25480500000E+007, -2.36017651755E+001, +0.00000000000E+000
+4.31980200000E+007, -9.32875075328E+001, +0.00000000000E+000
+4.38479900000E+007, -1.04630205944E+002, +0.00000000000E+000
+4.44979600000E+007, +1.76622824377E+002, +0.00000000000E+000
+4.51479300000E+007, +1.34689138201E+002, +0.00000000000E+000
+4.57979000000E+007, +1.34799251074E+002, +0.00000000000E+000
+4.64478700000E+007, -1.21240817133E+002, +0.00000000000E+000
+4.70978400000E+007, +1.86850490070E+001, +0.00000000000E+000
+4.77478100000E+007, -1.15589892939E+002, +0.00000000000E+000
+4.83977800000E+007, -1.14723915075E+002, +0.00000000000E+000
+4.90477500000E+007, -1.05038364553E+002, +0.00000000000E+000
+4.96977200000E+007, -4.07930996256E+001, +0.00000000000E+000
+5.03476900000E+007, +1.30983579213E+002, +0.00000000000E+000
+5.09976600000E+007, +1.59908800232E+002, +0.00000000000E+000
+5.16476300000E+007, +7.16277177671E+001, +0.00000000000E+000
+5.22976000000E+007, -6.01116145303E+001, +0.00000000000E+000
+5.29475700000E+007, +1.39762075384E+002, +0.00000000000E+000
+5.35975400000E+007, +7.19234725637E+001, +0.00000000000E+000
+5.42475100000E+007, +3.17999411644E+001, +0.00000000000E+000
+5.48974800000E+007, -2.97316069325E+001, +0.00000000000E+000
+5.55474500000E+007, +6.39541598412E+001, +0.00000000000E+000
+5.61974200000E+007, +4.50002857641E+001, +0.00000000000E+000
+5.68473900000E+007, -4.20337997121E+000, +0.00000000000E+000
+5.74973600000E+007, +1.01105379040E+002, +0.00000000000E+000
+5.81473300000E+007, -7.31755867952E+001, +0.00000000000E+000
+5.87973000000E+007, +1.55973703504E+002, +0.00000000000E+000
+5.94472700000E+007, -1.47332521668E+002, +0.00000000000E+000
+6.00972400000E+007, +1.66342937936E+002, +0.00000000000E+000
+6.07472100000E+007, -1.17283220018E+002, +0.00000000000E+000
+6.13971800000E+007, +1.38360131291E+002, +0.00000000000E+000
+6.20471500000E+007, -7.14918013494E+001, +0.00000000000E+000
+6.26971200000E+007, -4.75841773418E+001, +0.00000000000E+000
+6.33470900000E+007, +8.60817035039E-001, +0.00000000000E+000
+6.39970600000E+007, +1.29891495390E+002, +0.00000000000E+000
+6.46470300000E+007, -1.96621066556E+001, +0.00000000000E+000
+6.52970000000E+007, -1.50543134362E+002, +0.00000000000E+000
+6.59469700000E+007, +1.05073328832E+002, +0.00000000000E+000
+6.65969400000E+007, +1.43388685575E+002, +0.00000000000E+000
+6.72469100000E+007, -7.52640153763E+001, +0.00000000000E+000
+6.78968800000E+007, +1.58180267809E+002, +0.00000000000E+000
+6.85468500000E+007, -1.53650124811E+002, +0.00000000000E+000
+6.91968200000E+007, -1.65270975729E+002, +0.00000000000E+000
+6.98467900000E+007, -1.15778260289E+002, +0.00000000000E+000
+7.04967600000E+007, +6.92532755563E+001, +0.00000000000E+000
+7.11467300000E+007, -2.63859650354E+001, +0.00000000000E+000
+7.17967000000E+007, +2.61049040942E+001, +0.00000000000E+000
+7.24466700000E+007, -1.09757159058E+002, +0.00000000000E+000
+7.30966400000E+007, +6.92933106426E+001, +0.00000000000E+000
+7.37466100000E+007, -1.77345089093E+002, +0.00000000000E+000
+7.43965800000E+007, +2.41707283228E+001, +0.00000000000E+000
+7.50465500000E+007, +1.39894029766E+002, +0.00000000000E+000
+7.56965200000E+007, +5.74115654959E+001, +0.00000000000E+000
+7.63464900000E+007, +1.27295908937E+002, +0.00000000000E+000
+7.69964600000E+007, -3.37016802532E+001, +0.00000000000E+000
+7.76464300000E+007, -1.13206106646E+001, +0.00000000000E+000
+7.82964000000E+007, -7.94640246179E+001, +0.00000000000E+000
+7.89463700000E+007, +3.19756935300E+001, +0.00000000000E+000
+7.95963400000E+007, +1.09772812683E+002, +0.00000000000E+000
+8.02463100000E+007, +8.50472790201E+001, +0.00000000000E+000
+8.08962800000E+007, +7.15806143396E+001, +0.00000000000E+000
+8.15462500000E+007, -2.04181249395E+000, +0.00000000000E+000
+8.21962200000E+007, -3.80956991406E+001, +0.00000000000E+000
+8.28461900000E+007, +1.30038931421E+001, +0.00000000000E+000
+8.34961600000E+007, -2.49262655915E+001, +0.00000000000E+000
+8.41461300000E+007, -1.43664229654E+002, +0.00000000000E+000
+8.47961000000E+007, +9.20414162812E+001, +0.00000000000E+000
+8.54460700000E+007, -7.66123200235E-001, +0.00000000000E+000
+8.60960400000E+007, +7.81345944907E+001, +0.00000000000E+000
+8.67460100000E+007, +6.97641812924E+001, +0.00000000000E+000
+8.73959800000E+007, -5.51033381411E+000, +0.00000000000E+000
+8.80459500000E+007, +1.58958725613E+002, +0.00000000000E+000
+8.86959200000E+007, -1.10110725285E+001, +0.00000000000E+000
+8.93458900000E+007, -1.59904826387E+002, +0.00000000000E+000
+8.99958600000E+007, +1.19993765352E+002, +0.00000000000E+000
+9.06458300000E+007, -2.96842921772E+001, +0.00000000000E+000
+9.12958000000E+007, +9.96067569648E+001, +0.00000000000E+000
+9.19457700000E+007, -1.53610129064E+002, +0.00000000000E+000
+9.25957400000E+007, -1.22965490220E+002, +0.00000000000E+000
+9.32457100000E+007, -4.01773889763E+001, +0.00000000000E+000
+9.38956800000E+007, -1.63230893864E+002, +0.00000000000E+000
+9.45456500000E+007, +1.29007050155E+002, +0.00000000000E+000
+9.51956200000E+007, -2.02535881237E+000, +0.00000000000E+000
+9.58455900000E+007, +1.13750102149E+002, +0.00000000000E+000
+9.64955600000E+007, +5.25828011328E+000, +0.00000000000E+000
+9.71455300000E+007, -1.45471774983E+002, +0.00000000000E+000
+9.77955000000E+007, +2.70082982616E+001, +0.00000000000E+000
+9.84454700000E+007, -4.39143722435E+000, +0.00000000000E+000
+9.90954400000E+007, -9.43219105821E+001, +0.00000000000E+000
+9.97454100000E+007, +4.29883894991E+001, +0.00000000000E+000
+1.00395380000E+008, -3.25401914550E+001, +0.00000000000E+000
+1.01045350000E+008, -2.59951167770E+000, +0.00000000000E+000
+1.01695320000E+008, +8.76135980830E+001, +0.00000000000E+000
+1.02345290000E+008, +1.55752546134E+002, +0.00000000000E+000
+1.02995260000E+008, -1.02268888237E+001, +0.00000000000E+000
+1.03645230000E+008, -1.30768582698E+002, +0.00000000000E+000
+1.04295200000E+008, -7.82589157749E+001, +0.00000000000E+000
+1.04945170000E+008, -9.24608014163E+000, +0.00000000000E+000
+1.05595140000E+008, -5.22154583499E+001, +0.00000000000E+000
+1.06245110000E+008, +1.79543507848E+002, +0.00000000000E+000
+1.06895080000E+008, -1.61270496609E+002, +0.00000000000E+000
+1.07545050000E+008, +1.70975813171E+002, +0.00000000000E+000
+1.08195020000E+008, -8.29783600256E+001, +0.00000000000E+000
+1.08844990000E+008, +2.22992980423E+000, +0.00000000000E+000
+1.09494960000E+008, +1.34150537364E+002, +0.00000000000E+000
+1.10144930000E+008, +1.24459520687E+002, +0.00000000000E+000
+1.10794900000E+008, +1.59009471765E+002, +0.00000000000E+000
+1.11444870000E+008, +7.02173996693E+001, +0.00000000000E+000
+1.12094840000E+008, +4.59014012744E+001, +0.00000000000E+000
+1.12744810000E+008, -5.04102009690E+000, +0.00000000000E+000
+1.13394780000E+008, +2.93057931838E+001, +0.00000000000E+000
+1.14044750000E+008, +1.35519472307E+002, +0.00000000000E+000
+1.14694720000E+008, -4.69301339189E+000, +0.00000000000E+000
+1.15344690000E+008, -6.67384465104E+001, +0.00000000000E+000
+1.15994660000E+008, +1.02970820946E+002, +0.00000000000E+000
+1.16644630000E+008, +7.24239567373E+001, +0.00000000000E+000
+1.17294600000E+008, -9.83924005066E+001, +0.00000000000E+000
+1.17944570000E+008, -1.65292253018E+002, +0.00000000000E+000
+1.18594540000E+008, +1.64198441668E+002, +0.00000000000E+000
+1.19244510000E+008, -3.44303264514E+001, +0.00000000000E+000
+1.19894480000E+008, -5.13880950735E+001, +0.00000000000E+000
+1.20544450000E+008, +2.89629733868E+001, +0.00000000000E+000
+1.21194420000E+008, +7.43275407265E+001, +0.00000000000E+000
+1.21844390000E+008, -1.18351032678E+002, +0.00000000000E+000
+1.22494360000E+008, +3.54019808659E+001, +0.00000000000E+000
+1.23144330000E+008, +1.11187867533E+000, +0.00000000000E+000
+1.23794300000E+008, -1.57162255131E+002, +0.00000000000E+000
+1.24444270000E+008, +1.08516927494E+002, +0.00000000000E+000
+1.25094240000E+008, -1.55135831405E+002, +0.00000000000E+000
+1.25744210000E+008, -1.63405454786E+002, +0.00000000000E+000
+1.26394180000E+008, +8.48635147252E+001, +0.00000000000E+000
+1.27044150000E+008, -7.30157474087E+001, +0.00000000000E+000
+1.27694120000E+008, -1.10846179357E+002, +0.00000000000E+000
+1.28344090000E+008, -2.86541777348E+001, +0.00000000000E+000
+1.28994060000E+008, -1.11507661530E+002, +0.00000000000E+000
+1.29644030000E+008, +1.45029685934E+002, +0.00000000000E+000
+1.30294000000E+008, -4.71710766040E+001, +0.00000000000E+000
+1.30943970000E+008, -1.31381090038E+002, +0.00000000000E+000
+1.31593940000E+008, +6.81812432013E+001, +0.00000000000E+000
+1.32243910000E+008, -6.20202823966E+001, +0.00000000000E+000
+1.32893880000E+008, +1.94027450638E+001, +0.00000000000E+000
+1.33543850000E+008, -1.50097908049E+002, +0.00000000000E+000
+1.34193820000E+008, -8.80527847124E+001, +0.00000000000E+000
+1.34843790000E+008, -4.12862572227E+001, +0.00000000000E+000
+1.35493760000E+008, -4.53178512104E+000, +0.00000000000E+000
+1.36143730000E+008, -1.03510770480E+002, +0.00000000000E+000
+1.36793700000E+008, -4.05821796247E+001, +0.00000000000E+000
+1.37443670000E+008, +1.67820525236E+002, +0.00000000000E+000
+1.38093640000E+008, +1.63186572147E+002, +0.00000000000E+000
+1.38743610000E+008, -5.76910953825E+001, +0.00000000000E+000
+1.39393580000E+008, +7.90107552196E+001, +0.00000000000E+000
+1.40043550000E+008, -1.79986062195E+002, +0.00000000000E+000
+1.40693520000E+008, -3.79865606636E+001, +0.00000000000E+000
+1.41343490000E+008, +1.26284905265E+001, +0.00000000000E+000
+1.41993460000E+008, -1.99148483994E+001, +0.00000000000E+000
+1.42643430000E+008, +4.39051309007E+001, +0.00000000000E+000
+1.43293400000E+008, +9.05453132826E+001, +0.00000000000E+000
+1.43943370000E+008, +1.77022042345E+002, +0.00000000000E+000
+1.44593340000E+008, +3.22095467924E+001, +0.00000000000E+000
+1.45243310000E+008, +3.69067863390E+001, +0.00000000000E+000
+1.45893280000E+008, -1.71158331192E+002, +0.00000000000E+000
+1.46543250000E+008, +9.16281495802E+001, +0.00000000000E+000
+1.47193220000E+008, +1.09672633246E+002, +0.00000000000E+000
+1.47843190000E+008, -9.87889773200E+001, +0.00000000000E+000
+1.48493160000E+008, -2.04955299759E+001, +0.00000000000E+000
+1.49143130000E+008, +3.99413146591E+001, +0.00000000000E+000
+1.49793100000E+008, -6.91953665419E+001, +0.00000000000E+000
+1.50443070000E+008, -1.63266089142E+002, +0.00000000000E+000
+1.51093040000E+008, +1.79526337814E+002, +0.00000000000E+000
+1.51743010000E+008, +5.58096978769E+001, +0.00000000000E+000
+1.52392980000E+008, +5.26288205302E+001, +0.00000000000E+000
+1.53042950000E+008, +9.38366867569E+001, +0.00000000000E+000
+1.53692920000E+008, -1.27161478701E+002, +0.00000000000E+000
+1.54342890000E+008, +5.75730583435E+001, +0.00000000000E+000
+1.54992860000E+008, -2.64235873031E+000, +0.00000000000E+000
+1.55642830000E+008, +1.76072664465E+002, +0.00000000000E+000
+1.56292800000E+008, +2.54987083436E+001, +0.00000000000E+000
+1.56942770000E+008, -9.32110938384E+001, +0.00000000000E+000
+1.57592740000E+008, -1.23994389888E+001, +0.00000000000E+000
+1.58242710000E+008, +1.16551993777E+002, +0.00000000000E+000
+1.58892680000E+008, -1.38445694316E+002, +0.00000000000E+000
+1.59542650000E+008, -1.07601893604E+000, +0.00000000000E+000
