Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	5.103479e-002	-6.261555e-001	-9.484233e+001	-1.396404e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	9.185854e-004	-5.938466e-001	-8.886344e+001	1.467010e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	1.685082e-003	-7.647992e-001	-8.429796e+001	-1.006141e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	3.315628e-004	-9.627308e-001	-8.149859e+001	1.521912e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	9.202088e-004	-1.159036e+000	-8.323883e+001	4.681996e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	7.035976e-004	-1.370768e+000	-7.720208e+001	7.890942e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	1.723248e-003	-1.573896e+000	-7.900383e+001	1.030299e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	1.656251e-003	-1.783967e+000	-7.893481e+001	9.527612e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	1.736989e-003	-1.974136e+000	-7.537209e+001	9.795080e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	-7.854760e-004	-2.193331e+000	-7.199941e+001	9.124488e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	-6.075106e-004	-2.388993e+000	-7.313894e+001	9.435520e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	9.531281e-004	-2.601092e+000	-7.373069e+001	7.130825e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	6.530390e-004	-2.812327e+000	-7.073437e+001	8.965913e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	2.375541e-003	-3.026872e+000	-7.100587e+001	8.818774e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	8.611180e-004	-3.235778e+000	-7.000880e+001	8.806614e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	1.199148e-003	-3.441598e+000	-6.996064e+001	8.835344e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	9.336905e-004	-3.637419e+000	-6.939949e+001	8.634446e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-1.507159e-003	-3.839236e+000	-6.883137e+001	8.635954e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-1.997004e-003	-4.041833e+000	-6.808792e+001	8.667249e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	-8.535730e-004	-4.256699e+000	-6.762509e+001	8.578035e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	8.673190e-004	-4.470137e+000	-6.737178e+001	8.511653e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	-3.367051e-004	-4.673846e+000	-6.697249e+001	8.740030e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
14399780.000	-1.335814e-003	-4.885279e+000	-6.668174e+001	8.591465e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15049770.000	-1.903877e-003	-5.104203e+000	-6.621293e+001	8.475440e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15699760.000	1.200550e-004	-5.287941e+000	-6.551841e+001	8.549509e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16349750.000	-2.760413e-004	-5.489031e+000	-6.562667e+001	8.443386e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16999740.000	-2.554257e-003	-5.704367e+000	-6.510742e+001	8.488887e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
17649730.000	4.623990e-003	-5.937461e+000	-6.455296e+001	8.475261e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18299720.000	7.375803e-003	-6.153291e+000	-6.447254e+001	8.436873e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18949710.000	6.544127e-003	-6.355191e+000	-6.415747e+001	8.468350e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
19599700.000	7.999363e-004	-6.532912e+000	-6.410355e+001	8.424095e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20249690.000	-2.573526e-003	-6.723561e+000	-6.382990e+001	8.473359e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20899680.000	-4.201092e-003	-6.960546e+000	-6.366813e+001	8.529440e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
21549670.000	-4.306993e-003	-7.173685e+000	-6.325731e+001	8.413160e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22199660.000	-3.109800e-003	-7.370602e+000	-6.307005e+001	8.670299e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22849650.000	8.627447e-004	-7.544878e+000	-6.298666e+001	8.544130e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
23499640.000	-5.462836e-004	-7.751237e+000	-6.262637e+001	8.754810e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24149630.000	-2.510631e-003	-7.961637e+000	-6.215769e+001	8.827722e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24799620.000	-1.674961e-003	-8.169097e+000	-6.166646e+001	8.760832e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
25449610.000	8.399922e-004	-8.377578e+000	-6.133262e+001	8.630867e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26099600.000	1.283032e-004	-8.577611e+000	-6.117099e+001	8.568367e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26749590.000	-8.335731e-004	-8.787644e+000	-6.073725e+001	8.580397e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
27399580.000	-7.969979e-004	-9.000782e+000	-6.054497e+001	8.577149e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
28049570.000	2.397195e-004	-9.211976e+000	-6.016271e+001	8.462206e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
28699560.000	-1.076391e-003	-9.409646e+000	-5.985883e+001	8.557112e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
29349550.000	-9.526076e-004	-9.611644e+000	-5.988656e+001	8.305322e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
29999540.000	-1.241990e-003	-9.815123e+000	-5.958682e+001	8.201697e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
30649530.000	-1.478835e-003	-1.003007e+001	-5.967006e+001	8.206396e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
31299520.000	-5.959027e-004	-1.024328e+001	-5.931176e+001	8.261648e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
31949510.000	-1.266342e-003	-1.044854e+001	-5.925417e+001	8.134503e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
32599500.000	-2.003836e-003	-1.065513e+001	-5.899862e+001	8.123565e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
33249490.000	-1.448898e-003	-1.086426e+001	-5.896967e+001	8.074094e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
33899480.000	-2.311585e-003	-1.107457e+001	-5.871693e+001	8.140206e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
34549470.000	-2.035113e-003	-1.127267e+001	-5.862594e+001	8.021411e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
35199460.000	-2.270372e-003	-1.147471e+001	-5.833938e+001	8.010912e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
35849450.000	-2.840636e-003	-1.167673e+001	-5.818244e+001	7.971168e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
