Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	4.740402e-002	-5.576813e-001	-9.852363e+001	3.164708e+000	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	1.596071e-003	-5.747416e-001	-8.827155e+001	1.795285e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	2.873528e-003	-7.470074e-001	-8.681971e+001	-1.658229e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	2.689370e-003	-9.413187e-001	-7.437276e+001	9.289847e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	1.373622e-003	-1.139354e+000	-8.228256e+001	9.179086e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	3.379643e-003	-1.354509e+000	-7.661681e+001	1.362414e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	2.294168e-003	-1.555096e+000	-7.729510e+001	8.972192e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	2.700346e-003	-1.759456e+000	-7.592779e+001	1.069355e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	5.947489e-004	-1.960022e+000	-7.501776e+001	1.036321e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	1.583739e-003	-2.172305e+000	-7.402967e+001	9.149257e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	2.168282e-003	-2.372914e+000	-7.382977e+001	8.150168e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	2.340169e-003	-2.589315e+000	-7.170658e+001	7.942927e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	1.553572e-003	-2.799235e+000	-7.111088e+001	8.347324e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	4.459688e-003	-3.012650e+000	-7.066702e+001	8.769569e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	3.130164e-003	-3.217814e+000	-7.026999e+001	8.671158e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	3.237950e-003	-3.426871e+000	-6.961866e+001	8.772257e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	1.895516e-003	-3.619600e+000	-6.892614e+001	8.612927e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-1.341429e-004	-3.818548e+000	-6.852240e+001	8.547650e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-2.538775e-004	-4.021873e+000	-6.817088e+001	8.611985e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	2.693509e-004	-4.236807e+000	-6.781280e+001	8.439401e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	1.969230e-003	-4.448617e+000	-6.724332e+001	8.549968e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	1.326343e-003	-4.652439e+000	-6.671187e+001	8.651045e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
