distance,t0,t1,t2
5,1.5406854068540688e-09,3.3333333333333337e-10,1.874018740187402e-09
8,1.5422874228742288e-09,5.333333333333334e-10,2.075620756207562e-09
12,1.486022860228602e-09,7.999999999999999e-10,2.286022860228602e-09
16,1.4909589095890963e-09,1.0666666666666667e-09,2.557625576255763e-09
20,1.4622946229462296e-09,1.3333333333333335e-09,2.795627956279563e-09
24,1.514431144311443e-09,1.5999999999999999e-09,3.114431144311443e-09
28,1.5221672216722171e-09,1.866666666666667e-09,3.388833888338884e-09
32,1.4651026510265107e-09,2.1333333333333334e-09,3.598435984359844e-09
36,1.523239232392324e-09,2.4e-09,3.923239232392324e-09
40,1.4437744377443771e-09,2.666666666666667e-09,4.110441104411044e-09
45,1.5704457044570447e-09,3e-09,4.570445704457045e-09
50,1.5487154871548717e-09,3.3333333333333334e-09,4.882048820488205e-09
55,1.549785497854979e-09,3.666666666666667e-09,5.216452164521646e-09
60,1.5344553445534444e-09,4e-09,5.534455344553445e-09
65,1.5719257192571926e-09,4.333333333333333e-09,5.905259052590526e-09
70,1.5237952379523793e-09,4.666666666666667e-09,6.190461904619046e-09
75,1.532065320653207e-09,5e-09,6.532065320653207e-09
80,1.5507355073550735e-09,5.333333333333334e-09,6.884068840688407e-09
85,1.521405214052141e-09,5.666666666666666e-09,7.188071880718807e-09
90,1.6072760727607276e-09,6e-09,7.607276072760728e-09
95,1.5103451034510347e-09,6.333333333333334e-09,7.843678436784368e-09
